服务器,服务器地理位置,服务器端口,客户端,客户端地理位置,TCP/UDP,应用,协议,总字节数,每秒字节数,客户端字节数,服务器字节数,总数据包,每秒数据包数,比特率,客户端比特率,服务器比特率,客户端数据包数,服务器数据包数,会话开始时间,会话持续时间,TCP同步包,TCP同步确认包,客户端TCP重置包,服务器TCP重置包,三次握手次数,三次握手平均时间,客户端平均ACK时延,服务器平均ACK时延,三次握手平均客户端RTT,三次握手平均服务器RTT,客户端三次握手总时延,服务器三次握手总时延,TCP交易请求次数,TCP交易响应次数,服务器总响应时间,客户端请求平均传输时间,服务器响应平均传输时间,会话总数,活动会话数,客户端字节数（有效载荷）,客户端数据包数（有效载荷）,服务器字节数（有效载荷）,服务器数据包数（有效载荷）,客户端TCP重传包,服务器TCP重传包,客户端TCP结束包,服务器TCP结束包,TCP三次握手客户端确认包,TCP乱序包数,客户端TCP乱序包数,服务器TCP乱序包数,创建会话数,关闭会话数,每秒创建会话数,每秒关闭会话数,TCP重传包,每秒活动会话数,连接建立无响应次数,连接无响应率,TCP重置包
,局域网,67,,局域网,UDP,DHCP,DHCP,3411,0.0394,3411,0,9,0.0001,0.3158,0.3158,0,9,0,2023/9/26 16:33,7.368E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,,-,,-,-,-,-,-,-,-,-,-,0,9,0,0.0001,-,0,-,-,-
,局域网,67,,局域网,UDP,DHCP,DHCP,3411,0.0394,3411,0,9,0.0001,0.3158,0.3158,0,9,0,2023/9/26 16:32,7.319E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,,-,,-,-,-,-,-,-,-,-,-,0,8,0,0,-,0,-,-,-
,局域网,67,,局域网,UDP,DHCP,DHCP,3411,0.0394,3411,0,9,0.0001,0.3158,0.3158,0,9,0,2023/9/26 16:29,7.357E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,,-,,-,-,-,-,-,-,-,-,-,0,9,0,0.0001,-,0,-,-,-
,-,5353,,-,UDP,未知UDP应用,UDP,3312,0.0383,0,3312,16,0.0001,0.3066,0,0.3066,0,16,2023/9/26 16:52,2.5201E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,,-,,-,-,-,-,-,-,-,-,-,0,8,0,0,-,0,-,-,-
,局域网,37777,,局域网,TCP,未知TCP应用,TCP,3220,0.0372,3220,0,46,0.0005,0.2981,0.2981,0,46,0,2023/9/26 16:13,5000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,局域网,34817,,局域网,TCP,未知TCP应用,TCP,3080,0.0356,0,3080,44,0.0005,0.2851,0,0.2851,0,44,2023/9/26 16:13,5000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,局域网,67,,局域网,UDP,DHCP,DHCP,3032,0.035,3032,0,8,0,0.2807,0.2807,0,8,0,2023/9/26 16:31,7.288E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,,-,,-,-,-,-,-,-,-,-,-,0,8,0,0,-,0,-,-,-
,局域网,5353,,-,UDP,未知UDP应用,UDP,2992,0.0346,0,2992,16,0.0001,0.277,0,0.277,0,16,2023/9/26 16:52,2.5201E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,,-,,-,-,-,-,-,-,-,-,-,0,8,0,0,-,0,-,-,-
,局域网,33501,,局域网,TCP,未知TCP应用,TCP,2870,0.0332,0,2870,41,0.0004,0.2657,0,0.2657,0,41,2023/9/26 16:13,5000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,"中国,,,,114DNS",53,,局域网,UDP,DNS,DNS,2784,0.0322,2784,0,32,0.0003,0.2577,0.2577,0,32,0,2023/9/26 16:25,2.7011E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,2688,0.0311,0,2688,28,0.0003,0.2488,0,0.2488,0,28,2023/9/26 16:35,2.4961E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,0,,-,,-,-,-,-,-,-,-,-,-,0,14,0,0.0001,-,0,-,-,-
,局域网,67,,局域网,UDP,DHCP,DHCP,2653,0.0307,2653,0,7,0,0.2456,0.2456,0,7,0,2023/9/26 16:32,7.335E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,,-,,-,-,-,-,-,-,-,-,-,0,7,0,0,-,0,-,-,-
